id,question,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
94,I react quickly.,1.0,0.0,0.0,0.0,0.0
95,I like to take it easy.,-1.0,0.0,0.0,0.0,0.0
96,I like to take my time.,-1.0,0.0,0.0,0.0,0.0
97,I like a leisurely lifestyle.,-1.0,0.0,0.0,0.0,0.0
98,I let things proceed at their own pace.,-1.0,0.0,0.0,0.0,0.0
99,I react slowly.,-1.0,0.0,0.0,0.0,0.0
100,I love excitement.,1.0,0.0,0.0,0.0,0.0
101,I seek adventure.,1.0,0.0,0.0,0.0,0.0
102,I love action.,1.0,0.0,0.0,0.0,0.0
103,I enjoy being part of a loud crowd.,1.0,0.0,0.0,0.0,0.0
104,I enjoy being reckless.,1.0,0.0,0.0,0.0,0.0
105,I act wild and crazy.,1.0,0.0,0.0,0.0,0.0
106,I am willing to try anything once.,1.0,0.0,0.0,0.0,0.0
107,I seek danger.,1.0,0.0,0.0,0.0,0.0
108,I would never go hang gliding or bungee jumping.,-1.0,0.0,0.0,0.0,0.0
109,I dislike loud music.,-1.0,0.0,0.0,0.0,0.0
110,I radiate joy.,1.0,0.0,0.0,0.0,0.0
111,I have a lot of fun.,1.0,0.0,0.0,0.0,0.0
112,I express childlike joy.,1.0,0.0,0.0,0.0,0.0
113,I laugh my way through life.,1.0,0.0,0.0,0.0,0.0
114,I love life.,1.0,0.0,0.0,0.0,0.0
115,I look at the bright side of life.,1.0,0.0,0.0,0.0,0.0
116,I laugh aloud.,1.0,0.0,0.0,0.0,0.0
117,I amuse my friends.,1.0,0.0,0.0,0.0,0.0
118,I am not easily amused.,-1.0,0.0,0.0,0.0,0.0
119,I seldom joke around.,-1.0,0.0,0.0,0.0,0.0
120,I have a vivid imagination.,0.0,0.0,0.0,0.0,1.0
121,I enjoy wild flights of fantasy.,0.0,0.0,0.0,0.0,1.0
122,I love to daydream.,0.0,0.0,0.0,0.0,1.0
123,I like to get lost in thought.,0.0,0.0,0.0,0.0,1.0
124,I indulge in my fantasies.,0.0,0.0,0.0,0.0,1.0
125,I spend time reflecting on things.,0.0,0.0,0.0,0.0,1.0
126,I seldom daydream.,0.0,0.0,0.0,0.0,-1.0
127,I do not have a good imagination.,0.0,0.0,0.0,0.0,-1.0
128,I seldom get lost in thought.,0.0,0.0,0.0,0.0,-1.0
129,I have difficulty imagining things.,0.0,0.0,0.0,0.0,-1.0
130,I believe in the importance of art.,0.0,0.0,0.0,0.0,1.0
131,I like music.,0.0,0.0,0.0,0.0,1.0
132,I see beauty in things that others might not notice.,0.0,0.0,0.0,0.0,1.0
133,I love flowers.,0.0,0.0,0.0,0.0,1.0
134,I enjoy the beauty of nature.,0.0,0.0,0.0,0.0,1.0
135,I do not like art.,0.0,0.0,0.0,0.0,-1.0
136,I do not like poetry.,0.0,0.0,0.0,0.0,-1.0
137,I do not enjoy going to art museums.,0.0,0.0,0.0,0.0,-1.0
138,I do not like concerts.,0.0,0.0,0.0,0.0,-1.0
139,I do not enjoy watching dance performances.,0.0,0.0,0.0,0.0,-1.0
140,I experience my emotions intensely.,0.0,0.0,0.0,0.0,1.0
141,I feel others' emotions.,0.0,0.0,0.0,0.0,1.0
142,I am passionate about causes.,0.0,0.0,0.0,0.0,1.0
143,I enjoy examining myself and my life.,0.0,0.0,0.0,0.0,1.0
144,I try to understand myself.,0.0,0.0,0.0,0.0,1.0
145,I seldom get emotional.,0.0,0.0,0.0,0.0,-1.0
146,I am not easily affected by my emotions.,0.0,0.0,0.0,0.0,-1.0
147,I rarely notice my emotional reactions.,0.0,0.0,0.0,0.0,-1.0
148,I experience very few emotional highs and lows.,0.0,0.0,0.0,0.0,-1.0
149,I don't understand people who get emotional.,0.0,0.0,0.0,0.0,-1.0
150,I prefer variety to routine.,0.0,0.0,0.0,0.0,1.0
151,I like to visit new places.,0.0,0.0,0.0,0.0,1.0
152,I am interested in many things.,0.0,0.0,0.0,0.0,1.0
153,I like to begin new things.,0.0,0.0,0.0,0.0,1.0
154,I prefer to stick with things that i know.,0.0,0.0,0.0,0.0,-1.0
155,I dislike changes.,0.0,0.0,0.0,0.0,-1.0
156,I don't like the idea of change.,0.0,0.0,0.0,0.0,-1.0
157,I am a creature of habit.,0.0,0.0,0.0,0.0,-1.0
158,I dislike new foods.,0.0,0.0,0.0,0.0,-1.0
159,I am attached to conventional ways.,0.0,0.0,0.0,0.0,-1.0
160,I like to solve complex problems.,0.0,0.0,0.0,0.0,1.0
161,I love to read challenging material.,0.0,0.0,0.0,0.0,1.0
162,I have a rich vocabulary.,0.0,0.0,0.0,0.0,1.0
163,I can handle a lot of information.,0.0,0.0,0.0,0.0,1.0
164,I enjoy thinking about things.,0.0,0.0,0.0,0.0,1.0
165,I am not interested in abstract ideas.,0.0,0.0,0.0,0.0,-1.0
166,I avoid philosophical discussions.,0.0,0.0,0.0,0.0,-1.0
167,I have difficulty understanding abstract ideas.,0.0,0.0,0.0,0.0,-1.0
168,I am not interested in theoretical discussions.,0.0,0.0,0.0,0.0,-1.0
169,I avoid difficult reading material.,0.0,0.0,0.0,0.0,-1.0
170,I tend to vote for liberal political candidates.,0.0,0.0,0.0,0.0,1.0
171,I believe that there is no absolute right and wrong.,0.0,0.0,0.0,0.0,1.0
172,I believe that criminals should receive help rather than punishment.,0.0,0.0,0.0,0.0,1.0
173,I believe in one true religion.,0.0,0.0,0.0,0.0,-1.0
174,I tend to vote for conservative political candidates.,0.0,0.0,0.0,0.0,-1.0
175,I believe that too much tax money goes to support artists.,0.0,0.0,0.0,0.0,-1.0
176,I believe laws should be strictly enforced.,0.0,0.0,0.0,0.0,-1.0
177,I believe that we coddle criminals too much.,0.0,0.0,0.0,0.0,-1.0
178,I believe that we should be tough on crime.,0.0,0.0,0.0,0.0,-1.0
179,I like to stand during the national anthem.,0.0,0.0,0.0,0.0,-1.0
180,I trust others.,0.0,1.0,0.0,0.0,0.0
181,I believe that others have good intentions.,0.0,1.0,0.0,0.0,0.0
182,I trust what people say.,0.0,1.0,0.0,0.0,0.0
183,I believe that people are basically moral.,0.0,1.0,0.0,0.0,0.0
184,I believe in human goodness.,0.0,1.0,0.0,0.0,0.0
185,I think that all will be well.,0.0,1.0,0.0,0.0,0.0
186,I distrust people.,0.0,-1.0,0.0,0.0,0.0
187,I suspect hidden motives in others.,0.0,-1.0,0.0,0.0,0.0
188,I am wary of others.,0.0,-1.0,0.0,0.0,0.0
189,I believe that people are essentially evil.,0.0,-1.0,0.0,0.0,0.0
190,I would never cheat on my taxes.,0.0,1.0,0.0,0.0,0.0
191,I stick to the rules.,0.0,1.0,0.0,0.0,0.0
192,I use flattery to get ahead.,0.0,-1.0,0.0,0.0,0.0
193,I use others for my own ends.,0.0,-1.0,0.0,0.0,0.0
194,I know how to get around the rules.,0.0,-1.0,0.0,0.0,0.0
195,I cheat to get ahead.,0.0,-1.0,0.0,0.0,0.0
196,I put people under pressure.,0.0,-1.0,0.0,0.0,0.0
197,I pretend to be concerned for others.,0.0,-1.0,0.0,0.0,0.0
198,I take advantage of others.,0.0,-1.0,0.0,0.0,0.0
199,I obstruct others' plans.,0.0,-1.0,0.0,0.0,0.0
200,I make people feel welcome.,0.0,1.0,0.0,0.0,0.0
201,I anticipate the needs of others.,0.0,1.0,0.0,0.0,0.0
202,I love to help others.,0.0,1.0,0.0,0.0,0.0
203,I am concerned about others.,0.0,1.0,0.0,0.0,0.0
204,I have a good word for everyone.,0.0,1.0,0.0,0.0,0.0
205,I look down on others.,0.0,-1.0,0.0,0.0,0.0
206,I am indifferent to the feelings of others.,0.0,-1.0,0.0,0.0,0.0
207,I make people feel uncomfortable.,0.0,-1.0,0.0,0.0,0.0
208,I turn my back on others.,0.0,-1.0,0.0,0.0,0.0
209,I take no time for others.,0.0,-1.0,0.0,0.0,0.0
210,I am easy to satisfy.,0.0,1.0,0.0,0.0,0.0
211,I can't stand confrontations.,0.0,1.0,0.0,0.0,0.0
212,I hate to seem pushy.,0.0,1.0,0.0,0.0,0.0
213,I have a sharp tongue.,0.0,-1.0,0.0,0.0,0.0
214,I contradict others.,0.0,-1.0,0.0,0.0,0.0
215,I love a good fight.,0.0,-1.0,0.0,0.0,0.0
216,I yell at people.,0.0,-1.0,0.0,0.0,0.0
217,I insult people.,0.0,-1.0,0.0,0.0,0.0
218,I get back at others.,0.0,-1.0,0.0,0.0,0.0
219,I hold a grudge.,0.0,-1.0,0.0,0.0,0.0
220,I dislike being the center of attention.,0.0,1.0,0.0,0.0,0.0
221,I dislike talking about myself.,0.0,1.0,0.0,0.0,0.0
222,I consider myself an average person.,0.0,1.0,0.0,0.0,0.0
223,I seldom toot my own horn.,0.0,1.0,0.0,0.0,0.0
224,I believe that i am better than others.,0.0,-1.0,0.0,0.0,0.0
225,I think highly of myself.,0.0,-1.0,0.0,0.0,0.0
226,I have a high opinion of myself.,0.0,-1.0,0.0,0.0,0.0
227,I know the answers to many questions.,0.0,-1.0,0.0,0.0,0.0
228,I boast about my virtues.,0.0,-1.0,0.0,0.0,0.0
229,I make myself the center of attention.,0.0,-1.0,0.0,0.0,0.0
230,I sympathize with the homeless.,0.0,1.0,0.0,0.0,0.0
231,I feel sympathy for those who are worse off than myself.,0.0,1.0,0.0,0.0,0.0
232,I value cooperation over competition.,0.0,1.0,0.0,0.0,0.0
233,I suffer from others' sorrows.,0.0,1.0,0.0,0.0,0.0
234,I am not interested in other people's problems.,0.0,-1.0,0.0,0.0,0.0
235,I tend to dislike soft-hearted people.,0.0,-1.0,0.0,0.0,0.0
236,I believe in an eye for an eye.,0.0,-1.0,0.0,0.0,0.0
237,I try not to think about the needy.,0.0,-1.0,0.0,0.0,0.0
238,I believe people should fend for themselves.,0.0,-1.0,0.0,0.0,0.0
239,I can't stand weak people.,0.0,-1.0,0.0,0.0,0.0
240,I complete tasks successfully.,0.0,0.0,1.0,0.0,0.0
241,I excel in what i do.,0.0,0.0,1.0,0.0,0.0
242,I handle tasks smoothly.,0.0,0.0,1.0,0.0,0.0
243,I am sure of my ground.,0.0,0.0,1.0,0.0,0.0
244,I come up with good solutions.,0.0,0.0,1.0,0.0,0.0
245,I know how to get things done.,0.0,0.0,1.0,0.0,0.0
246,I misjudge situations.,0.0,0.0,-1.0,0.0,0.0
247,I don't understand things.,0.0,0.0,-1.0,0.0,0.0
248,I have little to contribute.,0.0,0.0,-1.0,0.0,0.0
249,I don't see the consequences of things.,0.0,0.0,-1.0,0.0,0.0
250,I like order.,0.0,0.0,1.0,0.0,0.0
251,I like to tidy up.,0.0,0.0,1.0,0.0,0.0
252,"I want everything to be ""just right.""",0.0,0.0,1.0,0.0,0.0
253,I love order and regularity.,0.0,0.0,1.0,0.0,0.0
254,I do things according to a plan.,0.0,0.0,1.0,0.0,0.0
255,I often forget to put things back in their proper place.,0.0,0.0,-1.0,0.0,0.0
256,I leave a mess in my room.,0.0,0.0,-1.0,0.0,0.0
257,I leave my belongings around.,0.0,0.0,-1.0,0.0,0.0
258,I am not bothered by messy people.,0.0,0.0,-1.0,0.0,0.0
259,I am not bothered by disorder.,0.0,0.0,-1.0,0.0,0.0
260,I try to follow the rules.,0.0,0.0,1.0,0.0,0.0
261,I keep my promises.,0.0,0.0,1.0,0.0,0.0
262,I pay my bills on time.,0.0,0.0,1.0,0.0,0.0
263,I tell the truth.,0.0,0.0,1.0,0.0,0.0
264,I listen to my conscience.,0.0,0.0,1.0,0.0,0.0
265,I break rules.,0.0,0.0,-1.0,0.0,0.0
266,I break my promises.,0.0,0.0,-1.0,0.0,0.0
267,I get others to do my duties.,0.0,0.0,-1.0,0.0,0.0
268,I do the opposite of what is asked.,0.0,0.0,-1.0,0.0,0.0
269,I misrepresent the facts.,0.0,0.0,-1.0,0.0,0.0
270,I go straight for the goal.,0.0,0.0,1.0,0.0,0.0
271,I work hard.,0.0,0.0,1.0,0.0,0.0
272,I turn plans into actions.,0.0,0.0,1.0,0.0,0.0
273,I plunge into tasks with all my heart.,0.0,0.0,1.0,0.0,0.0
274,I do more than what's expected of me.,0.0,0.0,1.0,0.0,0.0
275,I set high standards for myself and others.,0.0,0.0,1.0,0.0,0.0
276,I demand quality.,0.0,0.0,1.0,0.0,0.0
277,I am not highly motivated to succeed.,0.0,0.0,-1.0,0.0,0.0
278,I do just enough work to get by.,0.0,0.0,-1.0,0.0,0.0
279,I put little time and effort into my work.,0.0,0.0,-1.0,0.0,0.0
280,I get chores done right away.,0.0,0.0,1.0,0.0,0.0
281,I am always prepared.,0.0,0.0,1.0,0.0,0.0
282,I start tasks right away.,0.0,0.0,1.0,0.0,0.0
283,I get to work at once.,0.0,0.0,1.0,0.0,0.0
284,I carry out my plans.,0.0,0.0,1.0,0.0,0.0
285,I find it difficult to get down to work.,0.0,0.0,-1.0,0.0,0.0
286,I waste my time.,0.0,0.0,-1.0,0.0,0.0
287,I need a push to get started.,0.0,0.0,-1.0,0.0,0.0
288,I have difficulty starting tasks.,0.0,0.0,-1.0,0.0,0.0
289,I postpone decisions.,0.0,0.0,-1.0,0.0,0.0
290,I avoid mistakes.,0.0,0.0,1.0,0.0,0.0
291,I choose my words with care.,0.0,0.0,1.0,0.0,0.0
292,I stick to my chosen path.,0.0,0.0,1.0,0.0,0.0
293,I jump into things without thinking.,0.0,0.0,-1.0,0.0,0.0
294,I make rash decisions.,0.0,0.0,-1.0,0.0,0.0
295,I like to act on a whim.,0.0,0.0,-1.0,0.0,0.0
296,I rush into things.,0.0,0.0,-1.0,0.0,0.0
297,I do crazy things.,0.0,0.0,-1.0,0.0,0.0
298,I act without thinking.,0.0,0.0,-1.0,0.0,0.0
299,I often make last-minute plans.,0.0,0.0,-1.0,0.0,0.0
